day,time distance,space distance,sex one,sex two,time,name one,name two
1/12/2020,17.0,13,macho,macho,1900-01-01T13:21:00.000000000,T10,T171
1/12/2020,15.0,11,macho,macho,1900-01-01T14:38:00.000000000,T10,T171
1/12/2020,16.0,10,macho,macho,1900-01-01T15:14:00.000000000,T10,T171
1/12/2020,9.0,16,macho,macho,1900-01-01T15:14:00.000000000,T10,T171
1/12/2020,13.0,10,macho,macho,1900-01-01T18:27:00.000000000,T10,T171
1/12/2020,8.0,12,macho,macho,1900-01-01T18:27:00.000000000,T10,T171
1/12/2020,3.0,12,macho,macho,1900-01-01T18:27:00.000000000,T10,T171
1/12/2020,2.0,14,macho,macho,1900-01-01T18:27:00.000000000,T10,T171
1/12/2020,7.0,19,macho,macho,1900-01-01T18:27:00.000000000,T10,T171
1/12/2020,2.0,16,macho,macho,1900-01-01T18:27:00.000000000,T10,T171
1/12/2020,4.0,11,macho,macho,1900-01-01T20:04:00.000000000,T10,T171
1/12/2020,6.0,11,macho,macho,1900-01-01T20:04:00.000000000,T10,T171
1/12/2020,11.0,11,macho,macho,1900-01-01T20:04:00.000000000,T10,T171
1/12/2020,16.0,14,macho,macho,1900-01-01T20:04:00.000000000,T10,T171
1/12/2020,11.0,11,macho,macho,1900-01-01T20:04:00.000000000,T10,T171
1/12/2020,6.0,8,macho,macho,1900-01-01T20:04:00.000000000,T10,T171
1/12/2020,12.0,18,macho,macho,1900-01-01T21:27:00.000000000,T10,T171
1/12/2020,16.0,13,macho,macho,1900-01-01T15:14:00.000000000,T10,T171
1/12/2020,9.0,19,macho,macho,1900-01-01T15:14:00.000000000,T10,T171
1/12/2020,16.0,15,macho,macho,1900-01-01T15:14:00.000000000,T10,T171
1/12/2020,7.0,14,macho,hembra,1900-01-01T12:04:00.000000000,T10,T79
1/12/2020,6.0,15,macho,hembra,1900-01-01T12:35:00.000000000,T10,T79
1/12/2020,6.0,16,macho,hembra,1900-01-01T12:35:00.000000000,T10,T79
1/12/2020,6.0,16,macho,hembra,1900-01-01T12:35:00.000000000,T10,T79
1/12/2020,6.0,16,macho,hembra,1900-01-01T16:09:00.000000000,T171,T55
1/12/2020,10.0,19,macho,hembra,1900-01-01T16:28:00.000000000,T171,T79
10/1/2021,10.0,13,hembra,hembra,1900-01-01T14:48:00.000000000,T30,T129
10/1/2021,0.0,9,hembra,hembra,1900-01-01T14:48:00.000000000,T30,T129
10/1/2021,10.0,9,hembra,hembra,1900-01-01T14:48:00.000000000,T30,T129
10/1/2021,10.0,19,hembra,hembra,1900-01-01T14:28:00.000000000,T30,T129
10/1/2021,10.0,15,hembra,hembra,1900-01-01T14:28:00.000000000,T30,T129
10/1/2021,4.0,18,hembra,hembra,1900-01-01T20:10:00.000000000,T30,T129
10/1/2021,6.0,19,hembra,hembra,1900-01-01T20:20:00.000000000,T30,T129
10/1/2021,14.0,19,hembra,hembra,1900-01-01T20:20:00.000000000,T30,T129
10/1/2021,16.0,13,hembra,hembra,1900-01-01T20:30:00.000000000,T30,T129
10/1/2021,4.0,19,hembra,hembra,1900-01-01T20:30:00.000000000,T30,T129
10/1/2021,1.0,18,hembra,hembra,1900-01-01T20:35:00.000000000,T30,T129
10/1/2021,19.0,17,hembra,hembra,1900-01-01T20:35:00.000000000,T30,T129
10/1/2021,19.0,19,hembra,hembra,1900-01-01T20:35:00.000000000,T30,T129
10/1/2021,10.0,19,hembra,hembra,1900-01-01T14:28:00.000000000,T30,T129
10/1/2021,10.0,15,hembra,hembra,1900-01-01T14:28:00.000000000,T30,T129
10/1/2021,16.0,16,hembra,hembra,1900-01-01T21:10:00.000000000,T30,T129
10/1/2021,16.0,19,hembra,hembra,1900-01-01T21:10:00.000000000,T30,T129
10/1/2021,8.0,18,hembra,hembra,1900-01-01T21:15:00.000000000,T30,T129
10/1/2021,18.0,12,hembra,hembra,1900-01-01T21:15:00.000000000,T30,T129
10/1/2021,2.0,18,hembra,hembra,1900-01-01T21:25:00.000000000,T30,T129
10/1/2021,8.0,14,hembra,hembra,1900-01-01T21:25:00.000000000,T30,T129
10/1/2021,18.0,15,hembra,hembra,1900-01-01T21:25:00.000000000,T30,T129
10/1/2021,13.0,15,hembra,hembra,1900-01-01T21:30:00.000000000,T30,T129
10/1/2021,8.0,17,hembra,hembra,1900-01-01T21:35:00.000000000,T30,T129
10/1/2021,18.0,12,hembra,hembra,1900-01-01T21:35:00.000000000,T30,T129
10/1/2021,7.0,8,hembra,hembra,1900-01-01T21:50:00.000000000,T30,T129
10/1/2021,3.0,6,hembra,hembra,1900-01-01T21:50:00.000000000,T30,T129
10/1/2021,13.0,19,hembra,hembra,1900-01-01T21:50:00.000000000,T30,T129
10/1/2021,10.0,17,hembra,hembra,1900-01-01T14:28:00.000000000,T30,T129
10/1/2021,12.0,5,hembra,hembra,1900-01-01T22:05:00.000000000,T30,T129
10/1/2021,2.0,17,hembra,hembra,1900-01-01T22:05:00.000000000,T30,T129
10/1/2021,18.0,13,hembra,hembra,1900-01-01T22:05:00.000000000,T30,T129
10/1/2021,18.0,18,hembra,hembra,1900-01-01T22:11:00.000000000,T30,T129
10/1/2021,16.0,17,hembra,hembra,1900-01-01T21:10:00.000000000,T30,T129
10/1/2021,18.0,18,hembra,hembra,1900-01-01T22:21:00.000000000,T30,T129
10/1/2021,2.0,13,hembra,hembra,1900-01-01T22:21:00.000000000,T30,T129
10/1/2021,11.0,17,hembra,hembra,1900-01-01T22:21:00.000000000,T30,T129
10/1/2021,3.0,16,hembra,hembra,1900-01-01T22:26:00.000000000,T30,T129
10/1/2021,6.0,19,hembra,hembra,1900-01-01T22:26:00.000000000,T30,T129
10/1/2021,13.0,15,hembra,hembra,1900-01-01T22:36:00.000000000,T30,T129
10/1/2021,4.0,19,hembra,hembra,1900-01-01T22:36:00.000000000,T30,T129
10/1/2021,6.0,16,hembra,hembra,1900-01-01T22:56:00.000000000,T30,T129
10/1/2021,13.0,13,hembra,hembra,1900-01-01T22:36:00.000000000,T30,T129
10/1/2021,4.0,17,hembra,hembra,1900-01-01T22:36:00.000000000,T30,T129
10/1/2021,13.0,15,hembra,hembra,1900-01-01T21:30:00.000000000,T30,T129
10/1/2021,9.0,16,hembra,hembra,1900-01-01T23:11:00.000000000,T30,T129
10/1/2021,11.0,17,hembra,hembra,1900-01-01T23:11:00.000000000,T30,T129
10/1/2021,14.0,15,hembra,hembra,1900-01-01T23:16:00.000000000,T30,T129
10/1/2021,6.0,15,hembra,hembra,1900-01-01T23:16:00.000000000,T30,T129
10/1/2021,19.0,15,hembra,hembra,1900-01-01T23:21:00.000000000,T30,T129
10/1/2021,1.0,16,hembra,hembra,1900-01-01T23:21:00.000000000,T30,T129
10/1/2021,9.0,16,hembra,hembra,1900-01-01T23:31:00.000000000,T30,T129
2/12/2020,17.0,0,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,17.0,0,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,17.0,0,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,17.0,0,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,17.0,1,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,17.0,2,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,17.0,3,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,17.0,3,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,17.0,0,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,17.0,1,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,17.0,2,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,17.0,2,hembra,hembra,1900-01-01T11:20:00.000000000,T29,T55
2/12/2020,3.0,10,hembra,hembra,1900-01-01T13:38:00.000000000,T29,T55
2/12/2020,3.0,9,hembra,hembra,1900-01-01T13:38:00.000000000,T29,T55
2/12/2020,0.0,0,hembra,hembra,1900-01-01T12:26:00.000000000,T29,T79
2/12/2020,0.0,0,hembra,hembra,1900-01-01T13:34:00.000000000,T29,T79
22/1/2022,17.0,2,nan,hembra,1900-01-01T22:04:00.000000000,T54,T30
22/1/2022,7.0,2,nan,hembra,1900-01-01T22:04:00.000000000,T54,T30
22/1/2022,3.0,2,nan,hembra,1900-01-01T22:04:00.000000000,T54,T30
22/1/2022,13.0,2,nan,hembra,1900-01-01T22:04:00.000000000,T54,T30
22/1/2022,13.0,2,nan,hembra,1900-01-01T22:04:00.000000000,T54,T30
29/11/2020,19.0,2,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,8.0,5,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,0.0,19,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,2.0,2,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,12.0,1,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,2.0,2,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,12.0,1,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,0.0,1,macho,hembra,1900-01-01T18:15:00.000000000,T11,T133
29/11/2020,19.0,2,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,8.0,5,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,0.0,19,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,2.0,2,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,12.0,1,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,2.0,2,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,12.0,1,macho,hembra,1900-01-01T17:44:00.000000000,T11,T133
29/11/2020,3.0,3,macho,hembra,1900-01-01T21:10:00.000000000,T11,T133
29/11/2020,2.0,19,macho,hembra,1900-01-01T17:50:00.000000000,T171,T30
29/11/2020,18.0,13,macho,hembra,1900-01-01T20:31:00.000000000,T171,T30
29/11/2020,19.0,14,macho,hembra,1900-01-01T20:31:00.000000000,T171,T30
29/11/2020,13.0,17,macho,hembra,1900-01-01T20:41:00.000000000,T171,T30
29/11/2020,18.0,13,macho,hembra,1900-01-01T20:41:00.000000000,T171,T30
29/11/2020,13.0,13,macho,hembra,1900-01-01T21:22:00.000000000,T171,T30
29/11/2020,3.0,17,macho,hembra,1900-01-01T21:22:00.000000000,T171,T30
29/11/2020,7.0,15,macho,hembra,1900-01-01T21:22:00.000000000,T171,T30
29/11/2020,17.0,18,macho,hembra,1900-01-01T21:22:00.000000000,T171,T30
29/11/2020,13.0,2,macho,hembra,1900-01-01T21:32:00.000000000,T171,T30
29/11/2020,3.0,3,macho,hembra,1900-01-01T21:32:00.000000000,T171,T30
29/11/2020,7.0,1,macho,hembra,1900-01-01T21:32:00.000000000,T171,T30
29/11/2020,13.0,11,macho,hembra,1900-01-01T21:42:00.000000000,T171,T30
29/11/2020,3.0,12,macho,hembra,1900-01-01T21:42:00.000000000,T171,T30
29/11/2020,15.0,4,macho,hembra,1900-01-01T16:10:00.000000000,T171,T55
29/11/2020,15.0,5,macho,hembra,1900-01-01T16:10:00.000000000,T171,T55
29/11/2020,5.0,15,macho,hembra,1900-01-01T16:20:00.000000000,T171,T55
29/11/2020,5.0,16,macho,hembra,1900-01-01T16:20:00.000000000,T171,T55
29/11/2020,5.0,13,macho,hembra,1900-01-01T16:30:00.000000000,T171,T55
29/11/2020,5.0,14,macho,hembra,1900-01-01T16:30:00.000000000,T171,T55
29/11/2020,15.0,9,macho,hembra,1900-01-01T16:40:00.000000000,T171,T55
29/11/2020,14.0,8,macho,hembra,1900-01-01T16:40:00.000000000,T171,T55
29/11/2020,15.0,10,macho,hembra,1900-01-01T16:40:00.000000000,T171,T55
29/11/2020,4.0,5,macho,hembra,1900-01-01T16:50:00.000000000,T171,T55
29/11/2020,6.0,4,macho,hembra,1900-01-01T17:00:00.000000000,T171,T55
29/11/2020,16.0,9,macho,hembra,1900-01-01T17:10:00.000000000,T171,T55
29/11/2020,7.0,9,macho,hembra,1900-01-01T18:11:00.000000000,T171,T55
29/11/2020,7.0,9,macho,hembra,1900-01-01T18:11:00.000000000,T171,T55
29/11/2020,0.0,0,macho,hembra,1900-01-01T18:18:00.000000000,T171,T55
29/11/2020,0.0,0,macho,hembra,1900-01-01T18:18:00.000000000,T171,T55
29/11/2020,13.0,18,macho,hembra,1900-01-01T18:31:00.000000000,T171,T55
29/11/2020,13.0,17,macho,hembra,1900-01-01T18:31:00.000000000,T171,T55
29/11/2020,16.0,4,macho,hembra,1900-01-01T18:41:00.000000000,T171,T55
29/11/2020,6.0,7,macho,hembra,1900-01-01T18:51:00.000000000,T171,T55
29/11/2020,0.0,0,macho,hembra,1900-01-01T18:57:00.000000000,T171,T55
29/11/2020,5.0,11,macho,hembra,1900-01-01T16:20:00.000000000,T171,T55
29/11/2020,5.0,11,macho,hembra,1900-01-01T16:20:00.000000000,T171,T55
29/11/2020,0.0,0,hembra,macho,1900-01-01T16:45:00.000000000,T29,T56
29/11/2020,0.0,0,hembra,macho,1900-01-01T16:45:00.000000000,T29,T56
29/11/2020,0.0,0,hembra,macho,1900-01-01T16:45:00.000000000,T29,T56
29/11/2020,0.0,0,hembra,macho,1900-01-01T16:45:00.000000000,T29,T56
29/11/2020,0.0,0,hembra,macho,1900-01-01T16:45:00.000000000,T29,T56
29/11/2020,0.0,1,hembra,macho,1900-01-01T16:45:00.000000000,T29,T56
29/11/2020,0.0,0,hembra,macho,1900-01-01T19:03:00.000000000,T29,T56
29/11/2020,0.0,14,hembra,macho,1900-01-01T19:03:00.000000000,T29,T56
29/11/2020,4.0,14,hembra,macho,1900-01-01T19:07:00.000000000,T29,T56
29/11/2020,4.0,1,hembra,macho,1900-01-01T19:07:00.000000000,T29,T56
29/11/2020,5.0,19,hembra,macho,1900-01-01T19:07:00.000000000,T29,T56
29/11/2020,9.0,19,hembra,macho,1900-01-01T19:12:00.000000000,T29,T56
29/11/2020,0.0,1,hembra,macho,1900-01-01T19:12:00.000000000,T29,T56
29/11/2020,7.0,18,hembra,macho,1900-01-01T19:12:00.000000000,T29,T56
29/11/2020,7.0,18,hembra,macho,1900-01-01T19:19:00.000000000,T29,T56
29/11/2020,0.0,2,hembra,macho,1900-01-01T19:19:00.000000000,T29,T56
29/11/2020,8.0,6,hembra,macho,1900-01-01T19:19:00.000000000,T29,T56
29/11/2020,11.0,11,hembra,macho,1900-01-01T19:19:00.000000000,T29,T56
29/11/2020,8.0,4,hembra,macho,1900-01-01T19:27:00.000000000,T29,T56
29/11/2020,0.0,0,hembra,macho,1900-01-01T19:27:00.000000000,T29,T56
29/11/2020,3.0,4,hembra,macho,1900-01-01T19:27:00.000000000,T29,T56
29/11/2020,11.0,8,hembra,macho,1900-01-01T19:30:00.000000000,T29,T56
29/11/2020,3.0,4,hembra,macho,1900-01-01T19:30:00.000000000,T29,T56
29/11/2020,0.0,0,hembra,macho,1900-01-01T19:30:00.000000000,T29,T56
29/11/2020,0.0,0,hembra,macho,1900-01-01T20:06:00.000000000,T29,T56
29/11/2020,0.0,2,hembra,macho,1900-01-01T20:49:00.000000000,T29,T56
29/11/2020,5.0,4,hembra,macho,1900-01-01T20:49:00.000000000,T29,T56
29/11/2020,0.0,0,hembra,macho,1900-01-01T21:20:00.000000000,T29,T56
29/11/2020,15.0,6,hembra,macho,1900-01-01T21:20:00.000000000,T29,T56
29/11/2020,15.0,6,hembra,macho,1900-01-01T21:35:00.000000000,T29,T56
29/11/2020,0.0,0,hembra,macho,1900-01-01T21:35:00.000000000,T29,T56
3/12/2020,1.0,8,macho,hembra,1900-01-01T12:00:00.000000000,T11,T12
30/11/2020,8.0,6,macho,macho,1900-01-01T18:44:00.000000000,T10,T171
30/11/2020,0.0,0,macho,hembra,1900-01-01T21:09:00.000000000,T10,T79
30/11/2020,0.0,0,macho,hembra,1900-01-01T21:40:00.000000000,T10,T79
30/11/2020,9.0,8,macho,hembra,1900-01-01T11:46:00.000000000,T11,T133
30/11/2020,19.0,7,macho,hembra,1900-01-01T11:46:00.000000000,T11,T133
30/11/2020,1.0,3,macho,hembra,1900-01-01T11:56:00.000000000,T11,T133
30/11/2020,9.0,4,macho,hembra,1900-01-01T11:56:00.000000000,T11,T133
30/11/2020,19.0,4,macho,hembra,1900-01-01T11:56:00.000000000,T11,T133
30/11/2020,11.0,5,macho,hembra,1900-01-01T12:06:00.000000000,T11,T133
30/11/2020,1.0,6,macho,hembra,1900-01-01T12:06:00.000000000,T11,T133
30/11/2020,9.0,5,macho,hembra,1900-01-01T12:06:00.000000000,T11,T133
30/11/2020,19.0,11,macho,hembra,1900-01-01T12:06:00.000000000,T11,T133
30/11/2020,11.0,3,macho,hembra,1900-01-01T12:16:00.000000000,T11,T133
30/11/2020,1.0,3,macho,hembra,1900-01-01T12:16:00.000000000,T11,T133
30/11/2020,9.0,8,macho,hembra,1900-01-01T12:16:00.000000000,T11,T133
30/11/2020,19.0,5,macho,hembra,1900-01-01T12:16:00.000000000,T11,T133
30/11/2020,11.0,2,macho,hembra,1900-01-01T12:26:00.000000000,T11,T133
30/11/2020,1.0,7,macho,hembra,1900-01-01T12:26:00.000000000,T11,T133
30/11/2020,9.0,4,macho,hembra,1900-01-01T12:26:00.000000000,T11,T133
30/11/2020,19.0,11,macho,hembra,1900-01-01T12:26:00.000000000,T11,T133
30/11/2020,11.0,3,macho,hembra,1900-01-01T12:36:00.000000000,T11,T133
30/11/2020,1.0,1,macho,hembra,1900-01-01T12:36:00.000000000,T11,T133
30/11/2020,9.0,7,macho,hembra,1900-01-01T12:36:00.000000000,T11,T133
30/11/2020,11.0,0,macho,hembra,1900-01-01T12:46:00.000000000,T11,T133
30/11/2020,1.0,9,macho,hembra,1900-01-01T12:46:00.000000000,T11,T133
30/11/2020,10.0,5,macho,hembra,1900-01-01T12:46:00.000000000,T11,T133
30/11/2020,19.0,1,macho,hembra,1900-01-01T12:46:00.000000000,T11,T133
30/11/2020,10.0,10,macho,hembra,1900-01-01T12:46:00.000000000,T11,T133
30/11/2020,10.0,11,macho,hembra,1900-01-01T12:46:00.000000000,T11,T133
30/11/2020,10.0,9,macho,hembra,1900-01-01T12:55:00.000000000,T11,T133
30/11/2020,1.0,6,macho,hembra,1900-01-01T12:55:00.000000000,T11,T133
30/11/2020,10.0,0,macho,hembra,1900-01-01T12:55:00.000000000,T11,T133
30/11/2020,1.0,11,macho,hembra,1900-01-01T12:55:00.000000000,T11,T133
30/11/2020,1.0,11,macho,hembra,1900-01-01T12:55:00.000000000,T11,T133
30/11/2020,9.0,5,macho,hembra,1900-01-01T13:05:00.000000000,T11,T133
30/11/2020,0.0,1,macho,hembra,1900-01-01T13:05:00.000000000,T11,T133
30/11/2020,10.0,1,macho,hembra,1900-01-01T13:05:00.000000000,T11,T133
30/11/2020,9.0,9,macho,hembra,1900-01-01T13:05:00.000000000,T11,T133
30/11/2020,9.0,10,macho,hembra,1900-01-01T13:05:00.000000000,T11,T133
30/11/2020,19.0,5,macho,hembra,1900-01-01T13:15:00.000000000,T11,T133
30/11/2020,10.0,8,macho,hembra,1900-01-01T13:15:00.000000000,T11,T133
30/11/2020,0.0,6,macho,hembra,1900-01-01T13:15:00.000000000,T11,T133
30/11/2020,10.0,2,macho,hembra,1900-01-01T13:15:00.000000000,T11,T133
30/11/2020,19.0,5,macho,hembra,1900-01-01T13:15:00.000000000,T11,T133
30/11/2020,19.0,5,macho,hembra,1900-01-01T13:15:00.000000000,T11,T133
30/11/2020,10.0,6,macho,hembra,1900-01-01T13:25:00.000000000,T11,T133
30/11/2020,0.0,3,macho,hembra,1900-01-01T13:25:00.000000000,T11,T133
30/11/2020,10.0,5,macho,hembra,1900-01-01T13:25:00.000000000,T11,T133
30/11/2020,10.0,5,macho,hembra,1900-01-01T13:25:00.000000000,T11,T133
30/11/2020,10.0,7,macho,hembra,1900-01-01T13:35:00.000000000,T11,T133
30/11/2020,0.0,8,macho,hembra,1900-01-01T13:35:00.000000000,T11,T133
30/11/2020,11.0,7,macho,hembra,1900-01-01T13:35:00.000000000,T11,T133
30/11/2020,13.0,7,macho,hembra,1900-01-01T13:35:00.000000000,T11,T133
30/11/2020,0.0,7,macho,hembra,1900-01-01T13:35:00.000000000,T11,T133
30/11/2020,13.0,7,macho,hembra,1900-01-01T13:35:00.000000000,T11,T133
30/11/2020,13.0,6,macho,hembra,1900-01-01T13:35:00.000000000,T11,T133
30/11/2020,10.0,5,macho,hembra,1900-01-01T13:45:00.000000000,T11,T133
30/11/2020,1.0,5,macho,hembra,1900-01-01T13:45:00.000000000,T11,T133
30/11/2020,3.0,4,macho,hembra,1900-01-01T13:45:00.000000000,T11,T133
30/11/2020,11.0,4,macho,hembra,1900-01-01T13:45:00.000000000,T11,T133
30/11/2020,11.0,4,macho,hembra,1900-01-01T13:45:00.000000000,T11,T133
30/11/2020,10.0,5,macho,hembra,1900-01-01T13:45:00.000000000,T11,T133
30/11/2020,3.0,4,macho,hembra,1900-01-01T13:45:00.000000000,T11,T133
30/11/2020,3.0,4,macho,hembra,1900-01-01T13:45:00.000000000,T11,T133
